                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.57419,                 1.8914,                0.18741,                0.44887,                 1.0113,                0.95176,                0.95455,                0.95176,                0.89929,                0.99708,                      1,                  0.995,                0.72201,                0.51022,                 1.5063,                0.08492,                 0.3129,                0.94675,              0.0009176,              0.0009176,              0.0009176
                     84,                0.59485,                 2.1353,                0.18617,                0.46375,                 1.0186,                0.95177,                0.95455,                 0.9536,                0.90112,                0.99709,                      1,                  0.995,                0.71502,                0.49882,                  1.514,                0.09045,                0.29241,                0.96069,              0.0009044,              0.0009044,              0.0009044
                     85,                0.56074,                 2.1641,                0.21196,                0.45882,                0.97858,                 0.9517,                0.95455,                0.95379,                0.89451,                0.99702,                      1,                  0.995,                0.73213,                0.47814,                  1.469,                0.09033,                 0.2831,                0.95018,              0.0008912,              0.0008912,              0.0008912
                     86,                0.59098,                 2.1582,                0.17769,                0.49278,                 1.0444,                0.95142,                0.95455,                0.95397,                 0.8882,                0.95142,                0.95455,                0.95397,                0.67487,                0.45626,                 1.6059,                0.08468,                0.29372,                0.93049,               0.000878,               0.000878,               0.000878
                     87,                0.61935,                 2.2274,                0.19187,                 0.4964,                 1.0265,                0.94141,                0.95455,                0.95216,                0.88313,                0.94141,                0.95455,                0.96473,                0.67003,                0.48857,                 1.7361,                0.07978,                0.31186,                0.93048,              0.0008648,              0.0008648,              0.0008648
                     88,                0.56951,                 2.0938,                 0.2055,                0.48449,                 1.0166,                0.94555,                0.95455,                0.95256,                0.88205,                0.90025,                0.90909,                0.87152,                0.63131,                0.46921,                  1.869,                0.08562,                0.31385,                0.90657,              0.0008516,              0.0008516,              0.0008516
                     89,                0.57688,                 2.3373,                0.17731,                0.50066,                  1.004,                0.95196,                0.95455,                0.95428,                0.88388,                0.95196,                0.95455,                0.95428,                0.60501,                0.48324,                 1.7871,                0.10173,                0.30967,                0.90395,              0.0008384,              0.0008384,              0.0008384
                     90,                0.58348,                 2.5143,                0.19903,                0.46878,                0.99502,                0.95211,                0.95455,                0.95813,                0.88111,                0.99751,                      1,                  0.995,                0.67654,                0.46029,                 1.5316,                0.11706,                0.29998,                0.89941,              0.0008252,              0.0008252,              0.0008252
                     91,                0.51866,                 2.2797,                0.18206,                0.42221,                0.95267,                0.95217,                0.95455,                0.95521,                0.88811,                0.99757,                      1,                  0.995,                0.70678,                0.46078,                 1.4403,                 0.1069,                0.29314,                0.89518,               0.000812,               0.000812,               0.000812
                     92,                0.55009,                 2.2087,                0.18084,                0.43868,                 1.0125,                0.95224,                0.95455,                0.94809,                0.89456,                0.95224,                0.95455,                0.94809,                0.72318,                0.44902,                 1.4014,                0.08316,                0.29679,                0.88732,              0.0007988,              0.0007988,              0.0007988
                     93,                0.53725,                  1.906,                0.18799,                0.41457,                 0.9813,                0.95225,                0.95455,                 0.9523,                0.89948,                0.95225,                0.95455,                 0.9523,                0.72613,                0.45271,                 1.4266,                0.07974,                 0.2994,                0.89013,              0.0007856,              0.0007856,              0.0007856
                     94,                0.49493,                 2.0981,                0.22153,                0.41523,                0.96222,                0.95219,                0.95455,                 0.9567,                0.90202,                0.99753,                      1,                  0.995,                0.72882,                0.45476,                 1.4483,                0.07388,                0.29436,                0.89301,              0.0007724,              0.0007724,              0.0007724
                     95,                0.52603,                 2.4052,                0.18044,                0.43715,                0.97762,                 0.9522,                0.95455,                0.95639,                0.90146,                0.99755,                      1,                  0.995,                0.72825,                0.45526,                 1.4416,                0.07278,                0.29667,                0.89171,              0.0007592,              0.0007592,              0.0007592
