                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.53331,                 2.6704,                0.23504,                0.43076,                0.96975,                0.88867,                0.96512,                 0.9638,                0.87265,                0.81706,                0.88288,                0.85278,                0.28461,                0.48081,                 3.5766,                0.34294,                0.42662,                0.88819,              0.0009572,              0.0009572,              0.0009572
                     81,                0.51713,                 2.6414,                0.22718,                0.41976,                0.97456,                0.89914,                0.93294,                0.96347,                0.88624,                0.84462,                0.88491,                0.87568,                0.29543,                0.51049,                 3.6098,                0.37313,                0.45543,                0.90713,               0.000944,               0.000944,               0.000944
                     82,                0.51345,                 2.6559,                0.23649,                0.41278,                 0.9663,                0.85872,                0.96512,                0.96284,                0.88037,                0.80948,                0.83989,                0.84295,                0.29216,                 0.4832,                 3.5858,                0.24394,                0.44732,                0.91293,              0.0009308,              0.0009308,              0.0009308
                     83,                0.53893,                 2.5812,                0.23178,                0.42932,                0.98637,                0.95268,                0.93646,                0.97008,                 0.8748,                0.88178,                0.86731,                 0.8554,                0.28729,                0.49486,                 3.6218,                0.32254,                0.41874,                0.91817,              0.0009176,              0.0009176,              0.0009176
                     84,                0.51104,                  2.586,                0.23417,                0.42778,                0.96672,                0.95292,                0.94143,                0.97275,                 0.8832,                0.89321,                0.87534,                0.87816,                0.26884,                0.47448,                 3.6552,                0.23683,                0.40122,                0.89794,              0.0009044,              0.0009044,              0.0009044
                     85,                0.51757,                 2.6263,                0.22989,                0.41167,                0.97752,                0.88115,                0.97674,                0.96498,                0.87718,                0.86523,                0.82118,                0.83034,                0.29343,                0.48441,                 3.5479,                0.22596,                0.40481,                0.91089,              0.0008912,              0.0008912,              0.0008912
                     86,                0.52893,                 2.6404,                  0.235,                0.44372,                0.96208,                0.90433,                0.94186,                0.96815,                0.89966,                0.85815,                0.89535,                0.89931,                 0.3108,                0.45597,                  3.528,                0.23383,                0.38694,                0.88185,               0.000878,               0.000878,               0.000878
                     87,                0.48343,                 2.6132,                 0.2339,                0.38896,                0.94455,                0.94831,                0.93023,                 0.9718,                0.89252,                0.85096,                0.83721,                0.81652,                 0.2899,                0.47162,                 3.5537,                0.30045,                0.39222,                0.89972,              0.0008648,              0.0008648,              0.0008648
                     88,                0.51936,                  2.546,                0.23077,                0.41746,                0.95521,                0.86821,                0.95349,                0.96546,                0.87694,                0.83532,                0.86047,                0.87176,                0.30203,                0.47491,                 3.5728,                0.27704,                0.43596,                0.88317,              0.0008516,              0.0008516,              0.0008516
                     89,                 0.5165,                 2.5832,                0.21407,                0.41549,                0.98224,                0.94655,                0.89535,                0.96879,                0.88943,                 0.8594,                0.81395,                0.81178,                0.27688,                 0.4485,                 3.5549,                0.27542,                0.40065,                0.88052,              0.0008384,              0.0008384,              0.0008384
                     90,                0.52225,                  2.739,                0.23701,                0.43127,                0.95761,                0.90961,                0.94186,                0.96541,                0.87736,                 0.8186,                0.84884,                0.80762,                0.28794,                 0.4624,                 3.4976,                0.31559,                 0.4072,                0.89168,              0.0008252,              0.0008252,              0.0008252
                     91,                0.51949,                 2.4958,                0.22608,                 0.4104,                0.97125,                0.92378,                0.95349,                0.97109,                0.89384,                0.82814,                0.86047,                0.83603,                0.31214,                0.44455,                 3.4514,                0.27764,                0.40551,                0.88562,               0.000812,               0.000812,               0.000812
                     92,                0.49911,                 2.6864,                0.23008,                0.42832,                0.94507,                0.90098,                0.96512,                0.97011,                0.88426,                0.87881,                0.83721,                0.87355,                0.29572,                0.46795,                 3.5285,                0.26185,                0.41294,                0.88221,              0.0007988,              0.0007988,              0.0007988
                     93,                0.48073,                 2.5062,                0.22959,                0.40616,                0.93928,                0.89277,                0.95349,                0.96782,                0.89373,                0.83816,                0.89535,                0.89806,                0.31644,                0.44689,                 3.4833,                 0.3237,                0.41161,                0.87849,              0.0007856,              0.0007856,              0.0007856
                     94,                0.49721,                 2.3414,                0.21377,                 0.3983,                0.95493,                0.89897,                0.93115,                0.96438,                0.90224,                0.83157,                0.86116,                0.88277,                0.32471,                0.43868,                 3.4577,                 0.2977,                0.41319,                0.86947,              0.0007724,              0.0007724,              0.0007724
